"entity","count05","count06","count07","count08","count09","count10","count11","count12","count13.x","count14.x","count15.x","count16.x","count17.x","count18.x","count.x","count20.x","count13.y","count14.y","count15.y","count16.y","count17.y","count18.y","count.y","count20.y","count21","count22","count23","count24","count25"
"China",409,1021,750,773,888,1436,1785,2171,1746,2013,2683,1531,889,957,1119,1674,1746,2013,2683,1531,889,957,1119,1674,1255,1391,1171,1308,351
"Chinese",147,226,136,214,264,288,363,391,538,606,677,338,217,190,281,384,538,606,677,338,217,190,281,384,256,280,362,340,137
"East Asia",104,6,42,10,0,31,27,8,26,30,28,2,20,0,19,5,26,30,28,2,20,0,19,5,0,16,5,0,3
"the United Nations",50,39,15,17,9,17,18,8,15,31,74,27,12,12,22,36,15,31,74,27,12,12,22,36,49,17,8,14,20
"East Asian",39,0,10,9,3,15,40,5,9,4,9,0,8,2,10,4,9,4,9,0,8,2,10,4,6,19,2,0,0
"Japanese",39,0,30,28,2,8,29,25,0,22,20,3,0,3,0,2,0,22,20,3,0,3,0,2,4,0,9,4,7
"ASEAN",35,58,42,15,0,101,181,52,128,50,118,45,82,52,51,38,128,50,118,45,82,52,51,38,40,126,42,26,32
"Africa",30,99,90,20,130,55,31,219,91,167,316,93,36,27,62,138,91,167,316,93,36,27,62,138,152,56,115,93,0
"the Security Council",28,0,0,4,0,4,0,0,7,16,12,4,7,8,3,9,7,16,12,4,7,8,3,9,10,0,0,3,2
"African",27,69,64,10,93,35,14,155,71,72,206,48,22,23,41,76,71,72,206,48,22,23,41,76,123,27,57,40,0
"Japan",25,0,64,82,9,82,174,133,0,39,47,19,15,21,12,8,0,39,47,19,15,21,12,8,0,7,17,7,0
"Asia",20,63,23,65,26,122,94,49,109,145,148,97,20,10,65,11,109,145,148,97,20,10,65,11,25,46,46,54,39
"APEC",20,7,14,40,34,16,27,27,69,74,32,6,0,0,3,19,69,74,32,6,0,0,3,19,13,8,22,12,0
"the UN Charter",19,5,2,0,0,4,6,4,4,9,36,21,7,12,15,24,4,9,36,21,7,12,15,24,26,20,15,0,0
"CPC",18,8,0,0,0,0,6,5,9,0,14,7,10,4,9,36,9,0,14,7,10,4,9,36,69,50,24,26,2
"Hu Jintao",15,19,18,26,29,22,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taiwan",15,53,33,11,19,14,9,12,3,4,12,6,13,10,7,19,3,4,12,6,13,10,7,19,25,80,39,26,8
"Spain",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Pacific",11,0,8,4,2,18,2,13,21,35,32,3,3,0,0,12,21,35,32,3,3,0,0,12,15,35,38,24,0
"Council",11,5,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0
"Asian",10,27,6,35,18,52,33,35,36,90,111,55,8,4,34,8,36,90,111,55,8,4,34,8,18,32,25,23,26
"the Asia-Pacific region",10,2,17,7,8,15,15,7,7,15,0,0,3,0,0,0,7,15,0,0,3,0,0,0,3,5,3,0,0
"Sino-Japanese",10,0,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ROK",9,0,26,20,7,15,31,23,0,5,71,4,12,4,8,9,0,5,71,4,12,4,8,9,0,3,0,0,0
"Party",9,0,0,0,3,0,6,4,11,3,9,6,10,2,3,4,11,3,9,6,10,2,3,4,21,87,6,13,7
"the Anti-Fascist War",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Summit",7,19,6,10,5,0,2,9,0,7,13,19,2,4,16,7,0,7,13,19,2,4,16,7,2,0,4,6,4
"Dear Colleagues",7,2,2,2,10,12,10,4,3,7,9,6,6,0,0,4,3,7,9,6,6,0,0,4,4,4,0,0,0
"the Asia-Pacific",7,0,3,3,10,4,13,13,43,56,37,8,0,0,3,15,43,56,37,8,0,0,3,15,22,38,12,10,0
"Malaysia",6,4,0,0,0,0,0,0,17,3,9,0,0,0,0,0,17,3,9,0,0,0,0,0,0,3,0,20,26
