noun_phrase,count
china,638
asia,78
chinese government,78
international community,75
chinese people,72
beijing,71
economic growth,65
ladies,60
gentlemen,59
japan,52
financial crisis,50
india,50
dear,46
hu,46
economic development,44
china-us,44
apec,41
china-japan,35
world economy,34
sustainable development,33
forum,31
wen,30
hu jintao,30
europe,29
common development,28
mutual benefit,26
mutual understanding,26
africa,26
prime,25
asem,25
economic cooperation,24
rok,23
economic globalization,23
paralympic,23
thank,23
china-india,23
common prosperity,22
peaceful development,22
african,22
world peace,22
social development,21
environmental protection,21
mdgs,21
international financial system,20
countries,20
wen jiabao,19
international financial crisis,18
asia-pacific,18
win-win progress,18
international cooperation,18
food security,18
dear colleagues,18
cultural exchanges,18
bilateral relations,17
international financial markets,17
harmonious world,17
common interests,17
’ s,17
chinese economy,16
asean,16
international financial stability,16
recent years,16
fourth,16
russia,16
waseda,16
people 's livelihood,15
us $,15
sub-regional cooperation,15
beneficial cooperation,15
year marks,15
gdp,15
gms,15
domestic demand,14
financial stability,14
great importance,14
active part,14
reform,14
u.s.,14
beijing paralympic,14
summit,13
real economy,13
effective measures,13
wenchuan,13
's development,13
business cooperation,13
sco,13
member states,13
mutual trust,12
energy security,12
framework,12
long way,12
various countries,12
people 's,12
important role,12
outside world,12
global economy,12
financial regulation,11
climate,11
bush,11
deepen cooperation,11
joint efforts,11
young people,11
china-u.s.,11
taiwan,11
dialogue,11
us dollars,11
bilateral ties,11
china-rok,11
trade protectionism,10
doha,10
strong support,10
natural disasters,10
fast economic growth,10
own development,10
whole world,10
developing,10
business communities,10
international relations,10
china-asean,10
various sectors,10
friendship,10
yang,10
kissinger,10
mutual benefits,9
people 's republic,9
great pleasure,9
steady growth,9
financial markets,9
regional economic integration,9
heartfelt thanks,9
global economic growth,9
millennium,9
goals,9
meeting,9
september,9
european countries,9
world 's,9
distinguished,9
chine,9
international olympic committee,9
china-uk,9
state council,8
chinese nation,8
macroeconomic policies,8
common ground,8
responsible attitude,8
kyoto protocol,8
disaster prevention,8
's reform,8
opening-up program,8
regional cooperation,8
energy conservation,8
asia-europe,8
opening ceremony,8
win-win cooperation,8
early date,8
new century,8
mutual respect,8
developed,8
food prices,8
nuclear issue,8
strategic mutual trust,8
fundamental interests,8
kolkata,8
national conditions,8
south-south,8
development opportunities,7
bilateral cooperation,7
asian countries,7
financial risks,7
international financial institutions,7
full play,7
rmb,7
important part,7
mr.,7
business community,7
financial sector,7
practical cooperation,7
bali,7
important speech,7
's economy,7
stable development,7
international organizations,7
warm congratulations,7
pr,7
china-russia,7
friendly relations,7
social organizations,7
cross-strait relations,7
olympic spirit,7
bengal,7
friendly exchanges,7
olympics,7
movement,7
macro-economic policies,6
trilateral cooperation,6
positive role,6
action plan,6
smes,6
peru,6
