noun_phrase,count
china,1135
global,160
’ s,158
xi jinping,119
principles,99
africa,98
brics,88
arab,80
ai,80
peaceful coexistence,74
u.n.,67
initiative,65
france,61
asia,59
new era,57
international relations,57
global governance,53
sco,53
international community,49
world peace,46
peru,46
china-arab,44
cpc,40
road cooperation,40
asia-pacific,40
win-win cooperation,39
g20,39
ladies,39
gentlemen,39
forum,38
ukraine,38
mutual learning,38
comprehensive strategic partnership,36
hungary,36
african,35
mutual benefit,35
chinese people,35
china-africa,34
brazil,34
colleagues,34
common development,33
chinese characteristics,32
thank,32
people ’ s republic,32
europe,31
international cooperation,31
china-france,31
summit,30
world economy,30
beneficial cooperation,29
gaza,29
economic globalization,29
diplomatic relations,28
mutual respect,28
true multilateralism,28
chinese modernization,27
past year,27
orderly multipolar world,27
inclusive economic globalization,27
major countries,27
palestine,27
’ s diplomacy,26
asean,26
green development,26
taiwan,26
zealand,26
tajikistan,25
kazakhstan,25
serbia,24
major-country diplomacy,24
mutual trust,24
central committee,23
high-quality belt,23
’ s development,23
u.s.,23
general secretary,23
cold,23
h.e,22
great pleasure,22
political settlement,22
fourth,22
global civilization initiative,22
artificial intelligence,21
xi jinping thought,21
u.n. charter,21
vision,21
america,20
high-quality development,20
people-to-people exchanges,20
sustainable development,20
palestinian-israeli,20
russia,19
together,19
new journey,19
beijing,18
state-to-state relations,18
peaceful development,18
prime,18
china-u.s.,18
international law,18
chinese government,18
china-kazakhstan,18
global growth,18
new type,17
your excellency,17
bilateral relations,17
chinese economy,17
power politics,17
dear,16
new ground,16
human progress,16
malaysia,16
territorial integrity,16
hotspot issues,16
productive forces,16
common interests,16
apec,16
gsi,16
countries need,16
two-state solution,15
palestinian,15
shanghai,15
bilateral relationship,15
internal affairs,15
basic norms,15
recent years,15
diplomacy,15
new chapter,15
international system,15
chinese nation,15
partnership,15
common home,15
gdi,15
distinguished,15
wang yi,14
security council,14
china-hungary,14
countries,14
international order,14
common values,14
digital economy,14
us $,14
state visit,14
joint contribution,14
year marks,14
diplomatic ties,14
joint efforts,13
south countries,13
global development,13
chinese path,13
international landscape,13
mutual understanding,13
great modern socialist country,13
meeting,13
industrial transformation,13
world ’ s,13
sustainable security,13
extensive consultation,13
member states,13
bloc confrontation,13
fundamental principles,12
70th anniversary,12
major country,12
new opportunities,12
international consensus,12
silk,12
china-asean,12
new circumstances,12
china-tajikistan,12
national development,11
international organizations,11
myanmar,11
foreign investment,11
investment liberalization,11
such areas,11
right way,11
covid-19,11
new quality,11
agenda,11
deepen cooperation,11
right path,11
international affairs,11
south-south,11
australia,11
china-australia,11
hungarian,11
external work,11
communist party,10
strong impetus,10
general assembly,10
afghanistan,10
cooperation organization,10
china-europe,10
traditional friendship,10
practical cooperation,10
human rights,10
constructive role,10
human civilization,10
remarks,10
global economy,10
