noun_phrase,count
china,806
economic growth,141
africa,132
international financial crisis,116
international community,104
world economy,82
ladies,80
gentlemen,79
chinese government,73
canada,66
expo,64
arab,64
financial crisis,59
african,54
chinese people,52
domestic demand,52
china-africa,52
dear,43
wen,43
china-us,43
global financial crisis,42
economic development,42
international cooperation,41
us $,40
hu jintao,39
sustainable development,39
common development,38
fourth,38
sco,37
russia,37
mutual benefit,35
gdp,35
social development,35
apec,35
climate,34
international financial system,34
member states,34
nuclear weapons,34
thank,33
asia,33
western region,32
dear colleagues,31
world peace,30
common prosperity,30
mutual trust,30
african countries,30
economic globalization,29
’ s,29
people 's republic,28
prime,28
economic cooperation,28
ipr,28
rmb,28
china-canada,28
people 's,27
environmental protection,27
food security,27
mutual understanding,26
forum,26
egypt,26
shanghai,25
economic recovery,25
chinese economy,25
bilateral relations,25
practical cooperation,24
h.e,23
state council,23
national conditions,23
rural areas,23
fiscal policy,22
eu,22
china-russia,22
peaceful development,20
win-win progress,20
harmonious world,20
asia-pacific,20
beneficial cooperation,20
ethnic groups,19
wen jiabao,19
early date,19
kyoto protocol,19
easy monetary policy,19
macroeconomic policies,19
recent years,18
enhance cooperation,18
summit,18
whole world,18
social stability,18
hu,18
taiwan,17
copenhagen,17
developed,17
china-eu,17
doha,17
active part,17
opening ceremony,17
countries,17
cultural exchanges,17
's economy,17
media organizations,17
europe,16
diplomatic relations,16
stimulus package,16
people 's livelihood,16
wenchuan,16
young people,16
mr.,16
real economy,16
tibet,16
people ’ s republic,15
chinese nation,15
millennium,15
goals,15
financial regulation,15
mdgs,15
common interests,15
international financial institutions,15
financial stability,15
package plan,15
imf,15
financial markets,15
g20,15
financial institutions,15
60th anniversary,14
framework,14
deepen cooperation,14
investment protectionism,14
nuclear energy,14
important role,14
energy conservation,13
developing,13
external demand,13
steady growth,13
wide range,13
investment liberalization,13
round negotiations,13
great importance,13
joint efforts,13
various sectors,13
strategic partnership,13
international affairs,13
common ground,13
nuclear disarmament,13
june,13
cpc,13
program,12
hard work,12
thanks,12
september,12
london,12
profound changes,12
new era,12
rural residents,12
medvedev,12
central committee,12
el,12
public health security,11
beijing,11
green economy,11
international organizations,11
strong support,11
solid foundation,11
regional economic integration,11
technical cooperation,11
mutual respect,11
traditional friendship,11
important speech,11
political mutual trust,11
social security,11
investment cooperation,11
complete prohibition,11
april,11
tanzania,11
natural disasters,10
fundamental interests,10
technological innovation,10
trade protectionism,10
social progress,10
south-south,10
root causes,10
social safety net,10
social programs,10
beijing summit,10
peaceful use,10
annual meeting,10
davos,10
initial results,10
july,10
dalai,10
bric,10
disaster relief,10
earthquake relief,10
hong kong,9
cross-straits relations,9
friendly cooperation,9
renewable energy,9
speech,9
trade cooperation,9
full use,9
meeting,9
