rank,word,tfidf_score,country
1,rok,0.3763193187312878,China
2,wen,0.3452826738874703,China
3,bri,0.3123062387409142,China
4,rejuvenation,0.2676910617779264,China
5,jintao,0.26284158602107993,China
6,rmb,0.25508242481012555,China
7,focac,0.1988285060307062,China
8,urbanization,0.18428007876016675,China
9,cee,0.16779186118688869,China
10,mekong,0.15324343391634918,China
11,gdi,0.13772511149444042,China
12,jinpe,0.1357853211917018,China
13,jiabao,0.1357853211917018,China
14,councilor,0.12414657937527022,China
15,viet,0.11347773271020793,China
16,ipr,0.10571857149925355,China
17,boao,0.10474867634788425,China
18,ceec,0.10280888604514567,China
19,vigor,0.09892930543966846,China
20,doc,0.09892930543966846,China
21,unremitting,0.09698951513692987,China
22,sino,0.09407982968282196,China
24,differentiated,0.08147119271502108,China
25,revitalization,0.08050129756365179,China
26,lancang,0.07953140241228249,China
27,synergize,0.07468192665543599,China
28,gsi,0.0727421363526974,China
29,brf,0.0708023460499588,China
30,coc,0.0698324508985895,China
31,outbound,0.064982975141743,China
32,honorable,0.06304318483900441,China
33,decouple,0.06013349938489651,China
34,colorful,0.05916360423352722,China
35,tang,0.05819370908215792,China
36,wenchuan,0.05819370908215792,China
37,weal,0.052374338173942124,China
38,npc,0.052374338173942124,China
39,straits,0.051404443022572834,China
40,blaze,0.048494757568464934,China
41,innovate,0.04752486241709564,China
42,readjustment,0.04655496726572633,China
43,gms,0.045585072114357035,China
44,zheng,0.045585072114357035,China
45,guangxi,0.04364528181161844,China
46,ldc,0.04364528181161844,China
47,optimize,0.04267538666024914,China
48,footed,0.041705491508879845,China
49,utilization,0.04073559635751054,China
50,xiaoping,0.04073559635751054,China
51,energize,0.039765701206141243,China
52,tortuous,0.039765701206141243,China
53,plenum,0.038795806054771946,China
54,hainan,0.038795806054771946,China
55,tazara,0.03782591090340265,China
56,luncheon,0.03685601575203335,China
57,breadth,0.035886120600664054,China
58,thy,0.035886120600664054,China
59,avian,0.03491622544929475,China
60,jia,0.03491622544929475,China
61,deliverable,0.03491622544929475,China
62,liquidity,0.03394633029792545,China
63,lmc,0.032976435146556154,China
64,sichuan,0.032976435146556154,China
66,desertification,0.03200653999518686,China
67,ftaap,0.030066749692448255,China
68,bingguo,0.030066749692448255,China
69,bangguo,0.030066749692448255,China
70,hubei,0.02909685454107896,China
71,centralize,0.02909685454107896,China
72,chiang,0.02909685454107896,China
73,que,0.02909685454107896,China
74,subnational,0.02909685454107896,China
75,cppcc,0.02812695938970966,China
76,decoupling,0.02812695938970966,China
77,geithner,0.02812695938970966,China
78,expressway,0.02812695938970966,China
79,galvanize,0.02812695938970966,China
80,reef,0.027157064238340363,China
81,regionalism,0.027157064238340363,China
82,ciie,0.027157064238340363,China
83,rebound,0.026187169086971062,China
84,photovoltaic,0.026187169086971062,China
85,pacesetter,0.026187169086971062,China
86,qinghai,0.025217273935601765,China
87,porcelain,0.025217273935601765,China
88,lante,0.025217273935601765,China
89,shorten,0.025217273935601765,China
90,splendor,0.024247378784232467,China
91,maximize,0.024247378784232467,China
92,must,0.024247378784232467,China
93,overcapacity,0.024247378784232467,China
94,dalian,0.024247378784232467,China
95,irresistible,0.024247378784232467,China
96,qishan,0.023277483632863166,China
97,diaoyu,0.023277483632863166,China
98,entwine,0.022307588481493872,China
99,pioneering,0.022307588481493872,China
100,digit,0.022307588481493872,China
1,osce,0.6719226475240649,Russia
